headline	dominant_emotion
TSA finds missile launcher in passenger’s checked bag	0
Nike Pulls Shoes Featuring Betsy Ross Flag Over Concerns About Racist Symbolism	0
Trump Doubles Down On ‘Go Back’ Attack: ‘If You Don’t Like It' Here, 'You Can Leave’	0
House Democrats Are Shortchanging the Military	0
Kyoto Animation Studio Arson Kills 33, Shocking Japan	0
Some Amazon warehouse workers in Chicago say the company cheated them of overtime hours	0
For Asian Americans, coming out in 2019 can still present unique challenges	0
Trump Is Driving Iran into Russia’s Arms	0
Mueller Fears Trump’s Embrace of Russian Interference Could Be a ‘New Normal’	0
Ignore the Losers Who Are OK With Leftists Winning	0
Number of the Day: 18% of ER Visits End with Surprise Bills, Report Says	0
California man charged with hate crimes for sending letters threatening to kill incoming minority neighbors	0
Austria's far-right vice chancellor resigns after video sparks corruption scandal	0
President Donald Trump says Google and Facebook should be sued over allegations of their bias against conservatives, desire to 'rig' 2020 election	0
Cuomo Signs a Bill to Allow Release of Trump’s State Tax Returns	0
Enough with the Batman Movies Already	0
Donald Trump’s deranged supporters circle the drain	0
A New Nuclear Arms Race: As NATO Marks 70th Anniversary, Threat of Nuclear Confrontation Grows	0
Kirstjen Nielsen Was Heartless, but Not Heartless Enough for Trump	0
Julian Assange dragged from Ecuadorian embassy	0
Seething Senators Call Trump’s Environmental Plans Literally Toxic and “Dangerously off the Rails”	0
Drivers Should Compare Car Insurance Quotes Before Renewing The Contract	0
Soon your driver’s license might not get you through airport security	0
L.A. County health officials warn of measles exposure at Westside shops	0
Trump's Threatened Tariffs on Mexican Imports Might Not Happen. They Have Costs Anyway.	0
Hunrdeds of rockets launched from Gaza into Israel	0
New polling of 2020 Democrats head-to-head with Trump in a key swing state reveals his electoral weakness	0
Andy Ngo reports on the epidemic of hoax hate crimes against LGBT people in Portland	0
In some countries, killer cops are celebrated	0
"Baltimore Residents: Trump's Attacks on the City Are Rooted in ""Racism and White Supremacy"""	0
After series of UK milkshake tossing incidents, leftists say such physical attacks are effective — and 'absolutely hilarious'	0
Pilot died in military jet crash near Death Valley's 'Star Wars Canyon,' Navy confirms	0
Angela Davis & Barbara Ransby: We Stand with Rep. Ilhan Omar, a Courageous, Bold Black Woman	0
Two women injured in Sunday night shooting after gunfire hit their vehicle in Old South Baton Rouge	0
Herman Cain Blackmailed With Political Revenge Porn By Gloria Allred Client	0
Trump’s Immigration Deal With Mexico Is a Nothingburger	0
Biden: Russia wouldn’t have meddled in any elections on my watch or Obama’s	0
Julián Castro, the Democratic Presidential Candidate Eager to Challenge Trump on Immigration	0
We’ll be looking at an entirely different political landscape before this day is over	0
Video Shows Migrants Abusing Children at Arizona Border Fence	0
Donald Trump is closer to his downfall than ever – and he’s more manically dangerous than ever	0
Republican rebellion over Mexico tariffs overshadows Trump’s European visit	0
Somali asylum-seeker detained for over 2 years released	0
Hitchhiker wearing bloody clothes arrested in man's stabbing death	0
Warren, Sanders Call to Impeach After Trump Welcomes Dirt From Foreign Powers	0
Easter Weekend Bombings In Sri Lanka Kill 207 At Churches, Hotels	0
7-foot snake scares Oklahoma man as it pokes head out of dryer vent	0
The Double Talk of Trump’s Favorite Dictator	0
Nucor downgraded to hold from buy at CFRA	0
Terrified mother-of-two crouched over her baby girl as her husband attacked her	0
Trump admin rejecting requests from U.S. embassies to fly pride flag: report	0
Sri Lanka Arrests Father Of Suspected Easter Suicide Bombers	0
Trump and BoJo Could Emulate Reagan, Thatcher	0
A Soda Company’s Long Obsession With Outer Space	0
Ocasio-Cortez calls out Steve King, Liz Cheney amid controversy over concentration camp remarks	0
Nasty WashPost Column: Trump ‘Not Troubled’ By Possible Attempts to Kill Omar	0
Help to Buy scheme was abused by thousands of people who did not need a subsidy to get on the ladder	0
Hiding from ICE raids: 'People are terrified to go out on the streets'	0
6-year-old boy hospitalized after dingo attack in Australia	0
Fishermen find pieces of US drone shot down over Iran, ambassador says	0
Mass Stabbing In Japan Leaves 17 Injured, 3 Dead, Including 11-Year-Old Girl	0
Iran Says US Cyber Attacks Failed, Hints at Possible Talks	0
Man nearly killed by frozen body that fell from plane is too traumatized to go home	0
House Oversight Committee threatens salaries of Interior staff who block interviews	0
American Airlines extends 737 Max cancellations until August	0
Retail Giant PetSmart Names PETA in Spying Lawsuit	0
Watch Blue Checkmarks Shower Twitter Love On Anti-Semite Louis Farrakhan	0
Trump’s interest in stirring Ukraine investigations sows confusion in Kiev	0
Exclusive--Buddy Carter: Mueller Hearings a 'Disaster' for the Democrats	0
Flybe is accused of keeping passengers in the dark about their rights to compensation	0
Trump’s Decision to Arm the Saudis Against Iran Will End in Disaster	0
Shame on the Left’s Self-Righteous Bullies	0
White House counters yet another Barr contempt vote by claiming executive privilege over subpoenaed documents	0
People Are Absolutely Reeling From Those Two Brutal Moments on Game of Thrones	0
Nolte: CNN Invents Dangerous Conspiracy Theory About Trump Refusing to Leave Presidency	0
Bias Complaint Filed over Joke about Janet Jackson Nipple Incident	0
Barr Is a Distraction. We Must Insist on the Moral Indictment of Trump.	0
Nancy Pelosi Has Chosen Her War, and it’s With Her Own Party’s Future	0
Protesters flood London streets as Trump meets British Prime Minister	0
'Fantasist known as Nick' claimed ex-MP Harvey Proctor was violent	0
The weekend in the risky US-Iran standoff, explained	0
The European Union Is an Antidemocratic Disgrace	0
Asylum officers ask court to block Trump program that's 'contrary to the moral fabric of our Nation'	0
Progressive Jewish Group Demands End to Israel’s Brutal Occupation	0
"As Countries Seek Trade With China, Imprisoned Uyghur Muslim Community Has Become ""Collateral Damage"""	0
‘It Feels Like a Whole Century Was Cut Out.’ Chinese Censors Slice Six Minutes from Game of Thrones Premiere	0
Lawsuit Seeks Class Action Status for Students Whose Due Process Rights Were Violated During Title IX Investigations	0
Feeling marginalized by the California Democratic Party, black women push for more clout	0
Rare-Earths Mining Shows Exactly How China Cheats The United States Through ‘Free Trade’	0
Jones Raises Only 12 Percent From Alabama Residents In First Quarter	0
Ocasio-Cortez Blames Anonymous Staffer for Widely-Mocked Green New Deal FAQ Rollout	0
Harvard Was Right to Fire Ron Sullivan	0
Raise Your Hand If You’ve Ever Felt Personally Victimized by This Debate	0
International Space Station In Danger After India Shoots Satellite With Missile	0
